datum;objekt;boarea;rum;avgift;slutpris;diff;maklare
2023-11-11;Åre Strand 18:2 vecka 1;125;4;375;290000;16;Svensk Fastighetsförmedling Kundvård Helsingborg
2023-11-10;Åre Strand 3B3 V.10;76;3;308;150000;-14;Fastighetsbyrån Åre
2023-08-16;Åre strand 5B:2 v 52;59;2;280;150000;0;Svensk Fastighetsförmedling Åre
2023-04-12;Åre Strand 3A1, vecka 13;111;4;358;200000;-32;Svensk Fastighetsförmedling Åre
2022-10-31;Åre Strand 6 A1 3;112;4;1150;800000;-9;HusmanHagberg Åre
2022-10-21;Åre strand 22:1 vecka 50;118;4;371;50000;-47;Fastighetsmäklarna
2022-03-08;Åre Strand 6;78;3;1090;625000;-10;Hemverket AB
2022-02-21;Åre strand 6A4 (4);81;3;883;500000;-29;HusmanHagberg Åre
2022-02-14;Åre strand 3A1, v.2;111;4;;150000;-3;HusmanHagberg Åre
2022-02-07;Åre Strand 8C;53;3;2055;4300000;9;Mäklarhuset Åre
2022-01-07;Åre Strand 6A4;78;3;1090;555000;-7;Hemverket AB
2021-12-30;Åre strand 18:02, v31;118;4;371;99000;0;Hemverket AB
2021-12-06;Åre strand 2B1 AB v.6;111;4;0;125000;-29;HusmanHagberg Åre
2021-12-06;Åre strand 7B6 v.52;74;4;;180000;-28;HusmanHagberg Åre
2021-11-30;Åre strand 2A4 v.52;63;2;;120000;-20;HusmanHagberg Åre
2021-11-25;Åre Strand 3A2 v.52;76;3;300;180000;0;Fastighetsbyrån Åre
2021-10-12;Åre strand 7B2 v.10;53;3;;199000;0;HusmanHagberg Åre
2021-09-10;Åre Strand 6B3 vecka 52;78;3;308;215000;0;Svensk Fastighetsförmedling Åre
2021-08-27;Åre Strand 6B3 v.4;78;3;308;60000;-29;HusmanHagberg Åre
2021-08-03;Åre Strand 19:1 v 12 & 37;118;3;0;360000;-6;HusmanHagberg Åre
2021-08-03;Åre strand 21:1 - V.50;119;4;;70000;0;Magnusson Mäkleri Täby AB
2021-07-20;Åre Strand 18:2;118;4;371;120000;-4;Hemverket AB
2021-07-07;Åre strand 21:1 - V.7;119;4;;200000;-43;Magnusson Mäkleri Täby AB
2021-05-26;Åre strand 4A2 v.1;76;3;;160000;-14;HusmanHagberg Åre
2021-05-19;Åre strand 23:2 v.8;118;4;;295000;0;HusmanHagberg Åre
2021-05-11;Åre Strand 20:2 v.15 & v.24;118;4;;290000;-3;Fastighetsbyrån Åre
2021-05-08;Åre Strand 5B5 v.7;59;2;;110000;-26;HusmanHagberg Åre
2021-05-04;Åre strand 14:1 v.14 & 2B4 v.40;95;3;638;250000;-17;HusmanHagberg Åre
2021-03-18;Åre strand 15:2 v.4;118;4;375;125000;-7;HusmanHagberg Åre
2021-01-14;Åre strand 5A6, v.12;58;2;;115000;0;HusmanHagberg Åre
2020-12-18;Åre Strand 2B3 v.51;76;3;;70000;-18;HusmanHagberg Åre
2020-12-11;Åre strand 5A5 v.7;59;2;279;80000;-30;HusmanHagberg Åre
2020-10-13;Åre Strand 3 A3, v48;78;3;300;50000;-28;HusmanHagberg Åre
2020-08-19;Åre Strand 4A1;111;4;358;85000;-11;HusmanHagberg Åre
2020-08-18;Åre Strand 3 A 4;76;3;304;62000;-5;Hemverket AB
2020-07-26;Åre Strand 21A;119;4;371;105000;-16;HusmanHagberg Åre
2020-07-21;Åre strand 23:2 v.1;118;4;371;225000;0;HusmanHagberg Åre
2020-07-04;Åre strand 22:2;118;4;371;115000;0;HusmanHagberg Åre
2020-03-08;Åre Strand 23:1 v.14 & 14:2 v.29;118;4;729;300000;-22;HusmanHagberg Åre
2020-02-21;Åre strand 1B2, v.11;76;3;300;170000;0;HusmanHagberg Åre
2020-02-19;Åre strand 17:2 AB;118;4;375;220000;-8;HusmanHagberg Åre
